WeddingBlogPostId	Title	PublishedDate	Author	ArticleContent	InsertedOn	InsertedBy	UpdatedOn	UpdatedBy	RowVersion
100000	We've picked a Date!	2013-04-07	Jen and James	<p>We will be getting married on April 5th, 2014, exactly a year and a day after getting engaged. Why, you might ask? Well, the main reason is that's the amount of time that feels right to us. We had originally planned on having a shorter engagement, but there's a lot more planning involved with getting married than we expected, and we both have certain parts of the event we would like to have enough time to make ours. Another concern is we'd like to get married in the spring or summer to avoid bad weather since the majority of our guests will be travelling to our wedding. Spring and Summer happen to be "Wedding Season", which means we'll need plenty of time to make reservations. In addition, the more notice we give our guests, the more time they have to make arrangements to come to our wedding if they would like.</p><p>We already have a lot of things going on this summer on top of the wedding planning as well. James recently started a new job and Jen's project is going live to the public soon, so that's going to mean a lot of extra hours at work for the both of us. We're also working on developing a more active lifestyle and getting out of the house more - and working on the house too. We have a couple projects in our home that'd we'd really like to take on this summer.</p><p>We want the time to enjoy this process without feeling rushed. It means we have time to earn some vacation time, so that we can make the most out of this wonderful time in our lives. We also have more time to get our finances in order, so we can plan the event without having to make certain sacrifices.</p><p>So, long story short, April 5th, 2014 seems like the best date for us. We're really excited to be getting married in less than a year!	2014-05-06 20:14:08.173	3	2014-05-06 20:14:08.173	3	0x00000000000007D1
100001	Engagement Photos!	2013-04-25	Jen and James	<p>James found an amazing deal on <a target="_blank" href="http://www.jcpportraits.com/">JC Penney Portraits</a> photo sessions, so today we dressed up nice and went in and had engagement photos taken. It was a lot of fun and the majority of them turned out great!</p><p>We decided to purchase a media package so we'll be able to use the images from the session on this website, Facebook and our Save the Dates.</p>	2014-05-06 20:14:08.200	3	2014-05-06 20:14:08.200	3	0x00000000000007D2
100002	Save The Date	2013-05-13	Jen and James	<p>Our first wedding purchase - we ordered our Save the Dates. We've been looking into them for a few weeks and finally found the site we wanted to order them from - <a target="_blank" href="http://www.weddingpaperdivas.com/">Wedding Paper Divas</a>. They are a wedding themed site associated with the more well known stationary store - <a target="_blank" href="http://www.shutterfly.com/">Shutterfly</a>. We actually found them thanks to Jen's sister Ally, who ordered us Address Labels in our wedding colors from Shutterfly.</p><p>We loved a lot of their designs and finally decided on a simple postcard with a teal band across it that showcases a photograph - which works great with the Engagement photos we recently received. It looks especially nice with the photo in black and white - which is great with our black/white/blue/green color scheme.</p><p>We also ordered wedding-themed <a target="_blank" href="https://store.usps.com/store/browse/uspsProductDetailMultiSkuDropDown.jsp?categoryNavIds=catBuyStamps&categoryNav=false&navAction=jump&navCount=0&productId=S_575904&categoryId=catBuyStamps">"White Rose" Stamps</a> for all of our invites, RSVP cards, and thank you cards in addition to the save the dates. Things are going great with the wedding planning so far as well!</p>	2014-05-06 20:14:08.207	3	2014-05-06 20:14:08.207	3	0x00000000000007D3
100003	Engagement Party	2013-05-27	Jen and James	<p>This weekend, we had a barbeque get together so our families could finally get the chance to meet. It was a lot of fun getting to host the event in our home in Dayton, Ohio and celebrate our engagement with those closest to us. In attendance were Jen's parents from Xenia, Ohio, and her sister, Ally, was nice enough to fly in from San Diego, California. We were also very pleased to have James' parents, three brothers - Brandon, Justin, and Tyler, and Justin's fiancée Nicole join us from Portland, Michigan.</p><p>In addition to our immediate family members, we also had some of our closest friends there for the occasion, including the remaining members of the wedding party. Overall, the party was a huge success. We both had a blast and believe our friends and family did as well. This weekend was also a great opportunity for us to get to know each other's families. James, Brandon, and Tyler joined Jen and her family for a breakfast with her cousins who were in town. In addition, Jen had a lot of quality time with James' family when they went to the <a target="_blank" href="http://www.nationalmuseum.af.mil/">Air Force Museum</a> (definitely worth a visit if you have some free time in the area) as well as back at our home visiting, playing games, and celebrating James' dad's birthday.  We're looking forward to the next major event in our wedding preparation journey - visiting and selecting the reception venue!</p>	2014-05-06 20:14:08.213	3	2014-05-06 20:14:08.213	3	0x00000000000007D4
100004	The Good and The Bad	2013-05-30	Jen and James	<p>We got the church! It's official! We have a venue for our ceremony. We've been waiting about a month to hear back and last night we got the news that we are good to go. The church is the same place Jen's sister was married in, as well as our close friend Cheyenne. We're also excited to have Josh as our Officiant, he was confirmed to be in the ceremony a few weeks ago.</p><p>Not everything is going as planned though...</p><p>Our first big setback - our first choice reception venue (The Nutter Center) is already booked for April 5th next year. We hadn't had a chance to tour the space yet, but it had a lot of what we were looking for and the added bonus of being the convention center associated to Jen's Alma Mater.  We're not discouraged though, as far as hiccups go, this is a relatively small one and we have a fair list of other venues we are interested in. We're certain we will find the perfect location for our reception.</p>	2014-05-06 20:14:08.220	3	2014-05-06 20:14:08.220	3	0x00000000000007D5
100005	Reception Venue Time!	2013-06-04	Jen and James	<p>We have a couple wedding events booked and we're really excited! It's going to be a really busy week and a half.</p><ul><li>Thursday, June 6th, 5:00 PM: Venue: The Mandalay Banquet Center & Catering</li><li>Sunday, June 9th, 1:00 PM: Venue: The Deli and Top of the Market</li><li>Sunday, June 9th, 4:00 PM: Venue: Hilton Garden Inn Dayton/Beavercreek</li><li>Tuesday, June 11th, 6:00 PM: Venue: Newport Aquarium</li><li>Wednesday, June 12th, 5:00 PM: "Scan for a Grand" Gift Registry Event - Macy's</li><li>Friday, June 14th, 5:00 PM: Venue: Kohler Catering Presidential Banquet Center</li><li>Saturday, June 15th, 2:00 PM: Venue: Beavercreek Golf Club</li></ul>	2014-05-06 20:14:08.223	3	2014-05-06 20:14:08.223	3	0x00000000000007D6
100006	The Mandalay Banquet Center & Catering	2013-06-06	Jen and James	<p>We went to the <a target="_blank" href="http://www.mandalaycatering.com/">Mandalay</a> today, along with Jen's mom, and we were very pleased. The drive in left a little to be desired, but the front of the building was nice and the inside rooms were very impressive. From a budget perspective, this place is right where we want to be. They even have the added bonus of 80% of the money being due closer to the reception. While we're fine with a 50/50 split (what most places go with), having more money now for favors, clothes, the honeymoon, etc is a nice plus.</p><p>As far as the look of the reception space, it's probably a 'B' or 'C'. The floors and chairs are red, which doesn't quite mesh with our Black/White/Blue/Green color scheme. So, we'd definetely want to get chair covers, which aren't included in most packages. The walls are white with black frames, which look really nice and they have fairly nice chandeliers that would be over the dance floor.</p><p>One concern is that the ballroom is divided in 4ths and we would get 2 of those sections. That means the other half of the ballroom will very likely be rented out to another party. The event coordinator assured us that the events would be staggered if that were the case, but there would still be 2 parties sharing the restrooms and the possibility some noise disturbance.</p><p>All in all, it was an excellent first stop and we're really excited to check out the other venues.</p>	2014-05-06 20:14:08.230	3	2014-05-06 20:14:08.230	3	0x00000000000007D7
100007	Top of the Market Banquet & Events Center	2013-06-09	Jen and James	<p>This afternoon, we visited the <a target="_blank" href="http://www.topofmarket.com/">Top of the Market</a>. To quote James, it was more "The Middle of the Market". Overall, it was an alright venue. It's at the lower end of our expected budget and showed as much. It had a very interesting rustic look with exposed beams and brick, but the carpets have seen some age. With this space, we would be sharing the bathrooms with the other room in the space, but this venue does have the nice feature of the rooms being seperated by a floor and a central lobby. The Top of the Market also had an empty space we could use as a cocktail area or, more likely - a space for the kids to hang out in.</p><p>Overall, despite having some interesting personality and a lot of the features we are looking for, we're thinking this is most likely not where we'll be holding our reception. We did get a lot of cards and pamplets for recommendations for other vendors though, that was a definate perk of this visit. We're excited to continue looking at venues.</p>	2014-05-06 20:14:08.237	3	2014-05-06 20:14:08.237	3	0x00000000000007D8
100008	Hilton Garden Inn Dayton/Beavercreek	2013-06-10	Jen and James	<p>We visited the <a href="http://hiltongardeninn3.hilton.com/en/hotels/ohio/hilton-garden-inn-dayton-beavercreek-DAYBCGI/index.html" target="_blank">Hilton Garden Inn</a> yesterday and it has a very nice setup. We would get an entire ballroom (as opposed to half a ballroom like the Mandalay) to the side that would share a bathroom with the main restaurant, but would be otherwise on its own. The space also includes a spacious hall/lobby that would be included where the cocktail hour and buffet line would likely take place. The room and hotel in general are both very beautiful. We would probably need chair covers, but that seems to be common among the sites we've visited. The hotel also allows us to reserve a block of rooms for our guests to get a discounted rate, which is an added convenience the previous venues do not have.</p><p>Overall, it's fairly standard from what we've seen with ballrooms and would be a fair choice, though it is a bit pricy compared to our other contenders. We're still eager to see our remaining options.</p>	2014-05-06 20:14:08.240	3	2014-05-06 20:14:08.240	3	0x00000000000007D9
100009	Newport Aquarium	2013-06-11	Jen and James	<p>The visit to the <a href="http://www.newportaquarium.com/" target="_blank">Newport Aquarium</a> could not have gone better. Margaret walked us through where the key points in the reception would occur - the cocktail hour, the bars, the buffet, and lastly the reception space. It was all beautiful. While the aquarium itself was definitely wonderful, we were very pleasantly surprised with the reception space. The room had hints of the aquarium, but was very elegant and focused on the Cincinnati skyline that would look amazing as a backdrop to the head table. It was by far the nicest room we've seen so far.</p><p>There are 2 main drawbacks to the aquarium. The first is that it is an hour to an hour and a half from our ceremony location. The other is the price - everywhere else has the location and catering combined, so the location is free or close to it. With the aquarium, we would be purchasing them separately. The amazing location and available perks may be well worth it though....</p>	2014-05-06 20:14:08.247	3	2014-05-06 20:14:08.247	3	0x00000000000007DA
