WeddingPartyMemberTypeId	Name	InsertedOn	InsertedBy	UpdatedOn	UpdatedBy	RowVersion
1	BrideAndGroom	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1A
2	BestManAndMaidOfHonor	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1B
3	Bridesmaids	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1C
4	Groomsmen	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1D
5	JuniorBridesmaids	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1E
6	JuniorGroomsmen	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE1F
7	FlowerGirlAndRingBearer	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE20
8	Ushers	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE21
9	PriestAndOfficiant	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE22
10	Parents	2014-04-28 00:00:00.000	1	2014-04-28 00:00:00.000	1	0x000000000000AE23
